id,task,prompt
1,summarization,Please carefully summarize the following text in a clear and concise manner.
1_exp0,summarization,Please carefully Please carefully summarize the following text in a clear and concise manner. with detailed explanation.
1_exp1,summarization,Kindly Please carefully summarize the following text in a clear and concise manner. while maintaining clarity.
1_exp2,summarization,"In a very detailed manner, please Please carefully summarize the following text in a clear and concise manner. and explain each step carefully."
1_exp3,summarization,"With proper explanation, Please carefully summarize the following text in a clear and concise manner. with all necessary details."
2,qa,Answer the following question in a very detailed manner with explanation.
2_exp0,qa,Please carefully Answer the following question in a very detailed manner with explanation. with detailed explanation.
2_exp1,qa,Kindly Answer the following question in a very detailed manner with explanation. while maintaining clarity.
2_exp2,qa,"In a very detailed manner, please Answer the following question in a very detailed manner with explanation. and explain each step carefully."
2_exp3,qa,"With proper explanation, Answer the following question in a very detailed manner with explanation. with all necessary details."
3,explanation,Explain the concept of overfitting in machine learning clearly and in detail.
3_exp0,explanation,Please carefully Explain the concept of overfitting in machine learning clearly and in detail. with detailed explanation.
3_exp1,explanation,Kindly Explain the concept of overfitting in machine learning clearly and in detail. while maintaining clarity.
3_exp2,explanation,"In a very detailed manner, please Explain the concept of overfitting in machine learning clearly and in detail. and explain each step carefully."
3_exp3,explanation,"With proper explanation, Explain the concept of overfitting in machine learning clearly and in detail. with all necessary details."
4,reasoning,Please carefully analyze the problem and provide a step-by-step solution.
4_exp0,reasoning,Please carefully Please carefully analyze the problem and provide a step-by-step solution. with detailed explanation.
4_exp1,reasoning,Kindly Please carefully analyze the problem and provide a step-by-step solution. while maintaining clarity.
4_exp2,reasoning,"In a very detailed manner, please Please carefully analyze the problem and provide a step-by-step solution. and explain each step carefully."
4_exp3,reasoning,"With proper explanation, Please carefully analyze the problem and provide a step-by-step solution. with all necessary details."
5,classification,Classify the following email and explain your reasoning in a detailed manner.
5_exp0,classification,Please carefully Classify the following email and explain your reasoning in a detailed manner. with detailed explanation.
5_exp1,classification,Kindly Classify the following email and explain your reasoning in a detailed manner. while maintaining clarity.
5_exp2,classification,"In a very detailed manner, please Classify the following email and explain your reasoning in a detailed manner. and explain each step carefully."
5_exp3,classification,"With proper explanation, Classify the following email and explain your reasoning in a detailed manner. with all necessary details."
6,summarization,Provide a detailed summary of the given article while covering all important points.
6_exp0,summarization,Please carefully Provide a detailed summary of the given article while covering all important points. with detailed explanation.
6_exp1,summarization,Kindly Provide a detailed summary of the given article while covering all important points. while maintaining clarity.
6_exp2,summarization,"In a very detailed manner, please Provide a detailed summary of the given article while covering all important points. and explain each step carefully."
6_exp3,summarization,"With proper explanation, Provide a detailed summary of the given article while covering all important points. with all necessary details."
7,qa,Please answer the question below clearly and concisely with all necessary details.
7_exp0,qa,Please carefully Please answer the question below clearly and concisely with all necessary details. with detailed explanation.
7_exp1,qa,Kindly Please answer the question below clearly and concisely with all necessary details. while maintaining clarity.
7_exp2,qa,"In a very detailed manner, please Please answer the question below clearly and concisely with all necessary details. and explain each step carefully."
7_exp3,qa,"With proper explanation, Please answer the question below clearly and concisely with all necessary details. with all necessary details."
8,explanation,Explain how backpropagation works in neural networks in a detailed manner.
8_exp0,explanation,Please carefully Explain how backpropagation works in neural networks in a detailed manner. with detailed explanation.
8_exp1,explanation,Kindly Explain how backpropagation works in neural networks in a detailed manner. while maintaining clarity.
8_exp2,explanation,"In a very detailed manner, please Explain how backpropagation works in neural networks in a detailed manner. and explain each step carefully."
8_exp3,explanation,"With proper explanation, Explain how backpropagation works in neural networks in a detailed manner. with all necessary details."
9,reasoning,Carefully go through the problem statement and derive the correct solution.
9_exp0,reasoning,Please carefully Carefully go through the problem statement and derive the correct solution. with detailed explanation.
9_exp1,reasoning,Kindly Carefully go through the problem statement and derive the correct solution. while maintaining clarity.
9_exp2,reasoning,"In a very detailed manner, please Carefully go through the problem statement and derive the correct solution. and explain each step carefully."
9_exp3,reasoning,"With proper explanation, Carefully go through the problem statement and derive the correct solution. with all necessary details."
10,classification,Determine whether the sentiment of the following review is positive or negative and explain why.
10_exp0,classification,Please carefully Determine whether the sentiment of the following review is positive or negative and explain why. with detailed explanation.
10_exp1,classification,Kindly Determine whether the sentiment of the following review is positive or negative and explain why. while maintaining clarity.
10_exp2,classification,"In a very detailed manner, please Determine whether the sentiment of the following review is positive or negative and explain why. and explain each step carefully."
10_exp3,classification,"With proper explanation, Determine whether the sentiment of the following review is positive or negative and explain why. with all necessary details."
11,summarization,"In a very detailed manner, summarize the following research paper clearly."
11_exp0,summarization,"Please carefully In a very detailed manner, summarize the following research paper clearly. with detailed explanation."
11_exp1,summarization,"Kindly In a very detailed manner, summarize the following research paper clearly. while maintaining clarity."
11_exp2,summarization,"In a very detailed manner, please In a very detailed manner, summarize the following research paper clearly. and explain each step carefully."
11_exp3,summarization,"With proper explanation, In a very detailed manner, summarize the following research paper clearly. with all necessary details."
12,qa,Kindly answer the following technical question with proper reasoning.
12_exp0,qa,Please carefully Kindly answer the following technical question with proper reasoning. with detailed explanation.
12_exp1,qa,Kindly Kindly answer the following technical question with proper reasoning. while maintaining clarity.
12_exp2,qa,"In a very detailed manner, please Kindly answer the following technical question with proper reasoning. and explain each step carefully."
12_exp3,qa,"With proper explanation, Kindly answer the following technical question with proper reasoning. with all necessary details."
13,explanation,Explain the working of gradient descent in machine learning with clarity and detail.
13_exp0,explanation,Please carefully Explain the working of gradient descent in machine learning with clarity and detail. with detailed explanation.
13_exp1,explanation,Kindly Explain the working of gradient descent in machine learning with clarity and detail. while maintaining clarity.
13_exp2,explanation,"In a very detailed manner, please Explain the working of gradient descent in machine learning with clarity and detail. and explain each step carefully."
13_exp3,explanation,"With proper explanation, Explain the working of gradient descent in machine learning with clarity and detail. with all necessary details."
14,reasoning,Please carefully evaluate the scenario and provide a logical step-by-step answer.
14_exp0,reasoning,Please carefully Please carefully evaluate the scenario and provide a logical step-by-step answer. with detailed explanation.
14_exp1,reasoning,Kindly Please carefully evaluate the scenario and provide a logical step-by-step answer. while maintaining clarity.
14_exp2,reasoning,"In a very detailed manner, please Please carefully evaluate the scenario and provide a logical step-by-step answer. and explain each step carefully."
14_exp3,reasoning,"With proper explanation, Please carefully evaluate the scenario and provide a logical step-by-step answer. with all necessary details."
15,classification,Classify the news article into appropriate categories with detailed explanation.
15_exp0,classification,Please carefully Classify the news article into appropriate categories with detailed explanation. with detailed explanation.
15_exp1,classification,Kindly Classify the news article into appropriate categories with detailed explanation. while maintaining clarity.
15_exp2,classification,"In a very detailed manner, please Classify the news article into appropriate categories with detailed explanation. and explain each step carefully."
15_exp3,classification,"With proper explanation, Classify the news article into appropriate categories with detailed explanation. with all necessary details."
