id,task,prompt
1,summarization,"Please carefully summarize the following text in a clear and concise manner."
2,qa,"Answer the following question in a very detailed manner with explanation."
3,explanation,"Explain the concept of overfitting in machine learning clearly and in detail."
4,reasoning,"Please carefully analyze the problem and provide a step-by-step solution."
5,classification,"Classify the following email and explain your reasoning in a detailed manner."
6,summarization,"Provide a detailed summary of the given article while covering all important points."
7,qa,"Please answer the question below clearly and concisely with all necessary details."
8,explanation,"Explain how backpropagation works in neural networks in a detailed manner."
9,reasoning,"Carefully go through the problem statement and derive the correct solution."
10,classification,"Determine whether the sentiment of the following review is positive or negative and explain why."
11,summarization,"In a very detailed manner, summarize the following research paper clearly."
12,qa,"Kindly answer the following technical question with proper reasoning."
13,explanation,"Explain the working of gradient descent in machine learning with clarity and detail."
14,reasoning,"Please carefully evaluate the scenario and provide a logical step-by-step answer."
15,classification,"Classify the news article into appropriate categories with detailed explanation."

